"build"	"computer.platform"	"date"	"time"	"subject"	"group"	"session"	"blockcode"	"blocknum"	"trialcode"	"trialnum"	"conditionOrder"	"response"	"correct"	"latency"	"stimulusnumber1"	"stimulusitem1"	"da"	"db"	"d"	"percentcorrect"	"propRT300"	"excludeCriteriaMet"
"1"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetBright"	2	"c-ic"	23	0	3224	4	"om1.jpg"	""	""	"0"	"nan"	NA	0
"2"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetBright"	3	"c-ic"	23	1	981	1	"of1.jpg"	""	""	"0"	"nan"	NA	0
"3"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetAleft"	4	"c-ic"	18	1	647	5	"ym3.jpg"	""	""	"0"	"nan"	NA	0
"4"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetAleft"	5	"c-ic"	18	1	826	3	"yf5.jpg"	""	""	"0"	"nan"	NA	0
"5"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetBright"	6	"c-ic"	23	1	506	6	"om3.jpg"	""	""	"0"	"nan"	NA	0
"6"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetAleft"	7	"c-ic"	18	1	878	1	"yf1.jpg"	""	""	"0"	"nan"	NA	0
"7"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetAleft"	8	"c-ic"	18	1	748	6	"ym5.jpg"	""	""	"0"	"nan"	NA	0
"8"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetBright"	9	"c-ic"	23	1	483	2	"of2.jpg"	""	""	"0"	"nan"	NA	0
"9"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetAleft"	10	"c-ic"	18	1	503	4	"ym2.jpg"	""	""	"0"	"nan"	NA	0
"10"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetBright"	11	"c-ic"	23	1	646	5	"om2.jpg"	""	""	"0"	"nan"	NA	0
"11"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetAleft"	12	"c-ic"	18	1	608	2	"yf4.jpg"	""	""	"0"	"nan"	NA	0
"12"	"6.6.3"	"win"	"2024-07-19"	"09:55:33"	12	1	1	"targetcompatiblepractice"	1	"targetBright"	13	"c-ic"	23	1	479	3	"of3.jpg"	""	""	"0"	"nan"	NA	0
