date	time	build	subject	blocknum	blockcode	trialnum	trialcode	response	correct	latency	stimulusitem1
121318	09:55	3.0.6.0	1	1	consenso	1	consenso	Disponibile a partecipare alla ricerca nei termini sopra indicati	1	27280	0
121318	09:55	3.0.6.0	1	19	WhiteBlack	1	reminder	57	1	4016	Controlla le categorie - premi SPAZIO per cominciare
121318	09:55	3.0.6.0	1	19	WhiteBlack	2	PlainWhiteleft	18	1	924	wf6.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	4	PlainBlackright	23	1	637	bm56.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	6	PlainWhiteleft	18	1	732	wm1.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	8	PlainBlackright	23	1	550	bf14.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	10	PlainBlackright	23	1	588	bm14.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	12	PlainBlackright	23	1	736	bm23.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	14	PlainWhiteleft	18	1	612	wf3.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	16	PlainWhiteleft	23	0	837	wm6.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	18	PlainWhiteleft	18	1	1380	wf2.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	20	PlainWhiteleft	18	1	1255	wm4.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	22	PlainBlackright	23	1	704	bf56.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	24	PlainBlackright	23	1	636	bf23.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	26	PlainBlackright	23	1	762	bf14.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	28	PlainBlackright	23	1	641	bm14.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	30	PlainBlackright	23	1	1096	bf56.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	32	PlainBlackright	23	1	1033	bm56.jpg
121318	09:55	3.0.6.0	1	19	WhiteBlack	34	PlainWhiteleft	18	1	967	wm4.jpg
