"subject","sesso","et<e0>","occupazio","edu","dieta","pol1","pol2"
1,"Maschio",21,"stud","sup","no",3,2
2,"Maschio",31,"stud","magistrale","forma",3,5
3,"Femmina",21,"stud","sup","no",3,2
4,"Femmina",21,"stud","sup","no",2,3
5,"Femmina",21,"stud","sup","no",4,4
6,"Maschio",20,"stud","sup","no",3,2
7,"Maschio",20,"stud","sup","no",2,3
8,"Maschio",19,"stud","sup","no",3,2
9,"Femmina",20,"stud","sup","no",3,1
10,"Femmina",20,"stud","sup","no",3,2
11,"Femmina",20,"stud","sup","veggie",2,1
12,"Maschio",22,"stud","sup","no",3,4
13,"Maschio",22,"stud","sup","no",3,4
14,"Femmina",22,"stud","sup","no",3,2
15,"Maschio",21,"stud","sup","no",3,2
16,"Femmina",21,"stud/lav","sup","forma",3,4
17,"Femmina",21,"stud","sup","no",3,4
18,"Femmina",21,"stud","sup","no",3,5
19,"Maschio",21,"stud","sup","forma",1,5
20,"Femmina",21,"stud/lav","sup","no",3,4
21,"Femmina",21,"stud","sup","no",3,2
22,"Femmina",21,"stud","sup","no",3,4
23,"Femmina",21,"stud","sup","no",3,5
24,"Femmina",19,"stud","sup","no",3,3
25,"Femmina",21,"stud","sup","sport",3,2
26,"Femmina",21,"stud/lav","sup","peso",3,4
27,"Femmina",21,"stud/lav","sup","no",2,3
28,"Femmina",22,"stud","sup","no",3,4
29,"Maschio",23,"stud","triennale","veggie",3,2
30,"Femmina",21,"stud/lav","sup","no",3,4
31,"Femmina",19,"stud","sup","no",4,2
32,"Maschio",22,"stud","sup","no",3,2
33,"Femmina",21,"stud","sup","no",3,3
34,"Maschio",23,"stud/lav","sup","no",5,4
35,"Femmina",22,"stud/lav","sup","no",3,1
36,"Femmina",21,"stud","sup","no",2,4
37,"Femmina",21,"stud/lav","sup","no",1,6
38,"Femmina",21,"stud","sup","forma",4,2
39,"Femmina",20,"stud","sup","no",3,1
40,"Maschio",20,"stud","sup","no",2,4
41,"Femmina",24,"stud","triennale","no",4,3
42,"Maschio",24,"stud","triennale","no",2,3
43,"Femmina",22,"stud","triennale","peso",3,4
44,"Femmina",24,"stud","triennale","no",3,4
45,"Femmina",22,"stud","sup","no",3,2
46,"Femmina",21,"stud","sup","no",3,4
47,"Femmina",23,"stud","triennale","no",3,2
48,"Maschio",23,"stud","sup","no",3,2
49,"Femmina",24,"stud","triennale","veggie",3,3
