"participant","n_trial","slow10000","num.300","num.400","mean.tot","p_correct_block.practice_MappingA","p_correct_block.practice_MappingB","p_correct_block.test_MappingA","p_correct_block.test_MappingB","p_correct_bpool.practice","p_correct_bpool.test","prop_correct_cond.MappingA","prop_correct_cond.MappingB","p_correct_tot","d_practice_4","d_test_4","dscore_4","cond_ord","legendMappingA","legendMappingB"
"1",120,0,0,1,655.65,1,1,0.95,0.975,1,0.9625,0.966666666666667,0.983333333333333,0.975,-1.00062841466603,-0.532336466582847,-0.766482440624437,"MappingA_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"10",120,0,0,1,759.541666666667,0.8,1,0.975,0.975,0.9,0.975,0.916666666666667,0.983333333333333,0.95,-1.28871956954638,-0.791738909559035,-1.04022923955271,"MappingB_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"100",120,0,0,1,614.325,0.8,1,0.9,0.95,0.9,0.925,0.866666666666667,0.966666666666667,0.916666666666667,-1.04750316890562,-0.618814441182725,-0.833158805044173,"MappingB_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"101",120,0,0,1,872.516666666667,1,0.95,0.95,1,0.975,0.975,0.966666666666667,0.983333333333333,0.975,-0.54672926858394,-0.463875082537845,-0.505302175560892,"MappingB_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"102",120,0,0,11,560.925,1,0.95,1,0.95,0.975,0.975,1,0.95,0.975,-0.415170750637501,-0.0966406536644254,-0.255905702150963,"MappingA_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"103",120,0,0,1,683.7,0.95,1,0.95,0.925,0.975,0.9375,0.95,0.95,0.95,-0.635948832249094,0.0838414474871744,-0.27605369238096,"MappingB_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"104",120,0,0,1,697.916666666667,1,1,1,1,1,1,1,1,1,-0.710920357463992,-0.309702985214451,-0.510311671339222,"MappingA_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"105",120,0,0,3,645.316666666667,0.95,0.95,0.975,0.925,0.95,0.95,0.966666666666667,0.933333333333333,0.95,-0.806324859772736,0.126257258298313,-0.340033800737211,"MappingA_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"106",120,0,0,4,642.741666666667,0.85,1,0.95,0.975,0.925,0.9625,0.916666666666667,0.983333333333333,0.95,-0.710692366476001,-0.542524789386553,-0.626608577931277,"MappingB_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
"107",120,0,0,7,600.016666666667,0.9,1,1,0.975,0.95,0.9875,0.966666666666667,0.983333333333333,0.975,-0.760670771737885,-0.645421594378593,-0.703046183058239,"MappingA_First","PracticeWhitebad_and_TestWhitebad","PracticeWhitegood_and_TestWhitegood"
