"participant","latency","correct","block_original","condition","block_pool","block","trial_id"
1,725,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainWhiteleft"
1,1052,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plainbadleft"
1,1517,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainBlackright"
1,767,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plainbadleft"
1,985,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainWhiteleft"
1,708,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainBlackright"
1,689,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plainbadleft"
1,719,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plainbadleft"
1,550,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plaingoodright"
1,1101,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainBlackright"
1,918,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plaingoodright"
1,812,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plainbadleft"
1,717,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plaingoodright"
1,1028,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainBlackright"
1,823,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plaingoodright"
1,843,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainBlackright"
1,764,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainWhiteleft"
1,651,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","Plaingoodright"
1,1076,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainWhiteleft"
1,586,1,"PracticeWhitebad","MappingB","practice","practice_MappingB","PlainWhiteleft"
1,866,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,478,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,677,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,476,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,659,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,540,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,686,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,831,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,445,0,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,671,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,667,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,783,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,603,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,860,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,542,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,1474,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,600,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,542,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,595,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,583,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,571,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,629,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,633,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,480,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,559,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,677,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,708,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,688,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,727,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,526,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,509,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,433,0,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,709,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,577,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,619,1,"TestWhitebad","MappingB","test","test_MappingB","Plaingoodright"
1,887,1,"TestWhitebad","MappingB","test","test_MappingB","PlainBlackright"
1,760,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,591,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,597,1,"TestWhitebad","MappingB","test","test_MappingB","PlainWhiteleft"
1,692,1,"TestWhitebad","MappingB","test","test_MappingB","Plainbadleft"
1,620,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainBlackleft"
1,749,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plaingoodright"
1,721,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plainbadleft"
1,528,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plainbadleft"
1,714,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainBlackleft"
1,518,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plainbadleft"
1,644,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainBlackleft"
1,574,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainWhiteright"
1,544,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plaingoodright"
1,548,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plaingoodright"
1,584,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainWhiteright"
1,540,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainWhiteright"
1,497,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainBlackleft"
1,509,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainBlackleft"
1,489,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainWhiteright"
1,1211,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plainbadleft"
1,499,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plaingoodright"
1,557,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plainbadleft"
1,876,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","PlainWhiteright"
1,506,1,"PracticeWhitegood","MappingA","practice","practice_MappingA","Plaingoodright"
